page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
 105   104 image    2749  2085  rgb     3   8  jpeg   no       316  0   300   300 1375K 8.2%
 106   105 image    2771  2101  rgb     3   8  jpeg   no       319  0   300   300 1264K 7.4%
 107   106 image    2771  2097  rgb     3   8  jpeg   no       322  0   300   300 1398K 8.2%
 108   107 image    2750  2092  rgb     3   8  jpeg   no       325  0   300   300 1317K 7.8%
 109   108 image    2680  2095  rgb     3   8  jpeg   no       328  0   300   300 1360K 8.3%
 110   109 image    2724  2098  rgb     3   8  jpeg   no       331  0   300   300 1309K 7.8%
 111   110 image    2759  2075  rgb     3   8  jpeg   no       334  0   300   300 1395K 8.3%
 112   111 image    2741  2122  rgb     3   8  jpeg   no       337  0   300   300 1392K 8.2%
 113   112 image    2724  2104  rgb     3   8  jpeg   no       340  0   300   300 1344K 8.0%
 114   113 image    2724  2099  rgb     3   8  jpeg   no       343  0   300   300 1246K 7.4%
 115   114 image    2716  2095  rgb     3   8  jpeg   no       346  0   300   300  945K 5.7%
 116   115 image    2713  2074  rgb     3   8  jpeg   no       349  0   300   300 1042K 6.3%
 117   116 image    2735  2116  rgb     3   8  jpeg   no       352  0   300   300 1034K 6.1%
 118   117 image    2732  2094  rgb     3   8  jpeg   no       355  0   300   300 1066K 6.4%
 119   118 image    2732  2094  rgb     3   8  jpeg   no       358  0   300   300 1352K 8.1%
 120   119 image    2798  2154  rgb     3   8  jpeg   no       361  0   300   300 1285K 7.3%
 121   120 image    1359  2176  rgb     3   8  jpeg   no       364  0   300   300  758K 8.7%
